"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","batter_id"
2019,11,2,9,6,2,1,2,45,69,0.196,0.348,0.375,0.723,0.32,664774
2019,7,0,8,4,3,1,1,22,38,0.29,0.421,0.548,0.969,0.406,501659
2019,7,0,17,6,1,0,0,37,51,0.159,0.275,0.182,0.457,0.221,596012
2019,7,0,24,11,4,1,2,57,82,0.24,0.305,0.4,0.705,0.301,666158
2019,1,0,7,1,3,0,0,21,26,0.16,0.192,0.28,0.472,0.2,592230
2019,0,0,2,0,1,0,0,8,9,0.111,0.111,0.222,0.333,0.135,620453
2019,1,0,4,0,0,0,0,7,8,0,0.125,0,0.125,0.086,476704
2019,0,0,5,1,0,0,0,10,11,0.091,0.091,0.091,0.182,0.079,600466
2019,10,2,14,7,1,0,1,29,50,0.237,0.42,0.342,0.762,0.352,607468
2019,7,0,13,11,6,0,4,47,75,0.309,0.373,0.574,0.947,0.393,669720
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,453284
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,608718
2019,2,0,6,2,1,0,0,11,16,0.214,0.312,0.286,0.599,0.271,620443
2019,3,0,9,3,2,0,2,23,33,0.233,0.303,0.5,0.803,0.333,623180
2019,3,2,11,6,0,0,1,35,47,0.167,0.255,0.238,0.493,0.227,664041
2019,2,1,4,4,1,0,1,14,23,0.3,0.391,0.5,0.891,0.38,668227
2019,2,0,8,1,0,0,0,17,20,0.056,0.15,0.056,0.206,0.112,622046
2019,1,0,10,2,0,0,0,17,20,0.105,0.15,0.105,0.255,0.121,605452
2019,2,0,4,4,0,0,0,18,24,0.182,0.25,0.182,0.432,0.202,608671
2019,0,2,0,3,0,0,0,3,8,0.5,0.625,0.5,1.125,0.506,518568
2019,1,0,7,0,0,0,0,13,14,0,0.071,0,0.071,0.049,605548
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,607572
