batter,player_name,stand,p_throws,events,avg_launch_speed,avg_launch_angle,xba,woba,xwoba,iso,brl_pct
608348,"Kelly, Carson",R,L,6,70.43333333333334,-20,0.12933333333333333,0.26666666666666666,0.12833333333333335,0,0
608348,"Kelly, Carson",R,R,16,83.98333333333333,14.333333333333334,0.23358333333333334,0.190625,0.24866666666666667,0.0625,0
608360,"Okey, Chris",R,L,2,NA,NA,NA,0,NA,0,NA
608369,"Seager, Corey",L,L,63,93.98627450980392,13.529411764705882,0.36937254901960787,0.39920634920634923,0.45062745098039214,0.19047619047619047,0.13725490196078433
608369,"Seager, Corey",L,R,136,95.62947368421052,10.589473684210526,0.4580947368421053,0.4621323529411765,0.5547368421052632,0.27941176470588236,0.18947368421052632
608385,"Winker, Jesse",L,L,11,91.275,5,0.64,0.3227272727272727,0.59625,0.09090909090909091,0
608385,"Winker, Jesse",L,R,131,86.66075949367088,13.291139240506329,0.2668607594936709,0.26106870229007634,0.2840886075949367,0.03816793893129771,0.0379746835443038
608596,"Murphy, Tom",R,L,44,91.3111111111111,19.333333333333332,0.35018518518518515,0.28409090909090906,0.4161111111111111,0.1590909090909091,0.07407407407407407
608596,"Murphy, Tom",R,R,44,86.1,12.62962962962963,0.40344444444444444,0.3306818181818182,0.5068888888888889,0.25,0.18518518518518517
608671,"Jankowski, Travis",L,L,16,71.65,-0.4166666666666667,0.22433333333333333,0.371875,0.22016666666666668,0.125,0
608671,"Jankowski, Travis",L,R,107,85.84520547945205,0.3150684931506849,0.30819178082191784,0.38177570093457946,0.29642465753424657,0.06542056074766354,0
608701,"Refsnyder, Rob",R,L,74,89.44,11.96,0.40284,0.4506756756756757,0.43824,0.10810810810810811,0.06
608701,"Refsnyder, Rob",R,R,55,84.02758620689656,8.758620689655173,0.38110344827586207,0.25545454545454543,0.3797931034482759,0.03636363636363636,0.034482758620689655
608703,"Reynolds, Matt",R,L,3,77.45,36.5,0.381,0.3,0.34800000000000003,0,0
608703,"Reynolds, Matt",R,R,1,NA,NA,NA,0,NA,0,NA
608841,"Meneses, Joey",R,L,102,90.48026315789474,11.276315789473685,0.3146578947368421,0.31029411764705883,0.3345,0.08823529411764706,0.06578947368421052
608841,"Meneses, Joey",R,R,203,89.24805194805195,7.571428571428571,0.3227402597402597,0.32660098522167486,0.33104545454545453,0.07881773399014778,0.045454545454545456
609280,"Andujar, Miguel",R,L,9,92.7375,-4.75,0.352125,0.2388888888888889,0.34925,0.1111111111111111,0
609280,"Andujar, Miguel",R,R,24,83.53888888888889,3.4444444444444446,0.21561111111111111,0.2625,0.2825,0.25,0.16666666666666666
613564,"Vosler, Jason",L,L,10,83.62857142857143,24.142857142857142,0.33699999999999997,0.29,0.4005714285714286,0.3,0.14285714285714285
613564,"Vosler, Jason",L,R,55,86.51666666666667,26.166666666666668,0.2457,0.23454545454545456,0.30746666666666667,0.18181818181818182,0.06666666666666667
614173,"Cordero, Franchy",L,L,5,84.65,21.5,0.28,0.18,0.27899999999999997,0,0
614173,"Cordero, Franchy",L,R,51,90.48333333333333,4.566666666666666,0.314,0.26176470588235295,0.40853333333333336,0.2549019607843137,0.16666666666666666
614177,"Reyes, Franmil",R,L,20,96.99285714285715,6.714285714285714,0.32371428571428573,0.23500000000000001,0.4045714285714286,0.15,0.21428571428571427
614177,"Reyes, Franmil",R,R,45,90.5695652173913,-7.3478260869565215,0.29817391304347823,0.22666666666666666,0.38521739130434784,0.06666666666666667,0.13043478260869565
620443,"Torrens, Luis",R,L,14,85.11428571428571,30.142857142857142,0.3222857142857143,0.30714285714285716,0.30157142857142855,0,0
620443,"Torrens, Luis",R,R,8,86.9,19.6,0.3356,0.24375,0.36,0.125,0
621020,"Swanson, Dansby",R,L,75,88.93260869565218,13.869565217391305,0.3615,0.3526666666666667,0.4521304347826087,0.18666666666666668,0.13043478260869565
621020,"Swanson, Dansby",R,R,245,89.33167701863354,11.043478260869565,0.3413850931677019,0.33183673469387753,0.4060931677018634,0.09795918367346938,0.11801242236024845
621028,"Newman, Kevin",R,L,74,86.6438596491228,21.140350877192983,0.3271578947368421,0.40405405405405403,0.3599473684210526,0.20270270270270271,0.07017543859649122
621028,"Newman, Kevin",R,R,126,85.7910891089109,7.920792079207921,0.3068811881188119,0.27380952380952384,0.3007227722772277,0.047619047619047616,0
621035,"Taylor, Chris",R,L,68,89.80571428571429,27.17142857142857,0.3958285714285714,0.3551470588235294,0.5788571428571428,0.35294117647058826,0.2
621035,"Taylor, Chris",R,R,113,87.25735294117646,19.25,0.33255882352941174,0.2853982300884956,0.4027205882352941,0.1504424778761062,0.10294117647058823
621043,"Correa, Carlos",R,L,68,88.87755102040816,15.551020408163266,0.2842857142857143,0.3125,0.32981632653061227,0.1323529411764706,0.08163265306122448
621043,"Correa, Carlos",R,R,215,88.65109489051095,10.29496402877698,0.3244890510948905,0.30883720930232555,0.3911824817518248,0.18604651162790697,0.11678832116788321
621311,"Dahl, David",L,R,9,94.4,13.857142857142858,0.2987142857142857,0.2222222222222222,0.45385714285714285,0.3333333333333333,0.14285714285714285
621433,"Phillips, Brett",L,L,5,82.44999999999999,7,0.35150000000000003,0.27999999999999997,0.3185,0,0
621433,"Phillips, Brett",L,R,11,85.23333333333333,-5.333333333333333,0.3333333333333333,0.14545454545454545,0.32,0,0
621438,"Taylor, Tyrone",R,L,20,88.6,18,0.32769230769230767,0.1525,0.4258461538461538,0.05,0.15384615384615385
621438,"Taylor, Tyrone",R,R,58,87.42619047619048,13.833333333333334,0.2717142857142857,0.2103448275862069,0.2832142857142857,0.08620689655172414,0
621439,"Buxton, Byron",R,L,59,86.146875,24.15625,0.23365625,0.2271186440677966,0.2749375,0.13559322033898305,0.03125
621439,"Buxton, Byron",R,R,186,90.94018691588785,18.523364485981308,0.32932710280373834,0.3629032258064516,0.4283551401869159,0.23118279569892472,0.14018691588785046
621458,"Ríos, Edwin",L,L,1,NA,NA,NA,0,NA,0,NA
621458,"Ríos, Edwin",L,R,33,89.5,20.833333333333332,0.3626666666666667,0.22575757575757574,0.42774999999999996,0.12121212121212122,0.08333333333333333
621493,"Ward, Taylor",R,L,86,88.55645161290323,12.612903225806452,0.2842258064516129,0.2802325581395349,0.3089516129032258,0.08139534883720931,0.04838709677419355
621493,"Ward, Taylor",R,R,211,91.37291666666667,14.416666666666666,0.3405486111111111,0.32796208530805687,0.4019652777777778,0.14218009478672985,0.09027777777777778
621512,"Nido, Tomás",R,L,26,80.6625,0.5,0.24331250000000001,0.14038461538461539,0.23224999999999998,0,0
621512,"Nido, Tomás",R,R,35,79.952,2.96,0.25488,0.13,0.25636,0,0
621532,"Bemboom, Anthony",L,L,2,NA,NA,NA,0.35,NA,0,NA
621532,"Bemboom, Anthony",L,R,2,94.4,13.5,0.09,0,0.096,0,0
621545,"Remillard, Zach",R,L,8,76.17142857142856,10.571428571428571,0.28614285714285714,0.25625,0.2904285714285714,0,0
621545,"Remillard, Zach",R,R,11,74.875,0.625,0.37975,0.39090909090909093,0.360875,0,0
621550,"Wisdom, Patrick",R,L,75,94.24571428571429,23.428571428571427,0.42245714285714286,0.314,0.5773714285714285,0.24,0.2
621550,"Wisdom, Patrick",R,R,134,89.639130434782615,18.3768115942029,0.35807246376811597,0.3373134328358209,0.4849855072463768,0.23880597014925373,0.18840579710144928
621563,"Wendle, Joey",L,L,8,82.78,-10.8,0.2816,0.3875,0.3404,0.125,0
621563,"Wendle, Joey",L,R,117,87.76049382716049,6.666666666666667,0.2880493827160494,0.29102564102564105,0.2907530864197531,0.1111111111111111,0.012345679012345678
621566,"Olson, Matt",L,L,92,95.2673469387755,16.53061224489796,0.37695918367346937,0.2684782608695652,0.4660204081632653,0.14130434782608695,0.12244897959183673
621566,"Olson, Matt",L,R,246,93.84084507042253,17.1056338028169,0.35588028169014085,0.4040650406504065,0.4992112676056338,0.2845528455284553,0.19014084507042253
622110,"Duffy, Matt",R,L,57,89.565,17.9,0.38425,0.3543859649122807,0.40445000000000003,0.12280701754385964,0.075
622110,"Duffy, Matt",R,R,41,82.01428571428572,5.178571428571429,0.2839285714285714,0.3280487804878049,0.2740714285714286,0.024390243902439025,0
622250,"Sborz, Josh",R,R,1,NA,NA,NA,0,NA,0,NA
622534,"Margot, Manuel",R,L,57,90.505,6.560975609756097,0.36405,0.3333333333333333,0.41465,0.12280701754385964,0.075
622534,"Margot, Manuel",R,R,148,86.78318584070796,10.52212389380531,0.2952300884955752,0.3260135135135135,0.3088849557522124,0.10135135135135136,0.04424778761061947
622569,"Reyes, Pablo",R,L,25,86.55,10.090909090909092,0.3398181818181818,0.458,0.35795454545454547,0.12,0.09090909090909091
