pitcher,p_throws,stand,events,avg_launch_speed,avg_launch_angle,xba,woba,xwoba,iso,brl_pct
592826,R,L,9,95.78,50,0.1724,0.15555555555555556,0.3288,0,0.2
592826,R,R,8,94.5142857142857,28.142857142857142,0.3384285714285714,0.45,0.5047142857142857,0.375,0.2857142857142857
592836,R,L,3,NA,NA,NA,0,NA,0,NA
592836,R,R,3,69.19999999999999,16,0.037000000000000005,0,0.034,0,0
592858,R,L,6,94.775,11.5,0.6415,0.475,0.6465000000000001,0.16666666666666666,0
592858,R,R,3,92.53333333333333,28,0.162,0.3,0.16733333333333333,0,0
592866,R,L,4,58.875,6,0.257,0.45,0.24400000000000002,0,0
592866,R,R,3,78.13333333333334,0.3333333333333333,0.2713333333333333,0.6,0.24633333333333335,0,0
593423,R,L,26,84.94761904761904,13.80952380952381,0.32366666666666666,0.36730769230769234,0.4109047619047619,0.2692307692307692,0.09523809523809523
593423,R,R,21,91.53846153846153,12.461538461538462,0.35246153846153844,0.2142857142857143,0.3446923076923077,0,0.07692307692307693
593576,R,L,8,90.18333333333334,19.833333333333332,0.30433333333333334,0.1125,0.32216666666666666,0,0
593576,R,R,4,92.33333333333333,38,0.27899999999999997,0.3125,0.39066666666666666,0.25,0.3333333333333333
593958,L,L,7,96.9,21.8,0.2296,0.45714285714285713,0.2748,0.2857142857142857,0
593958,L,R,31,91.32380952380953,18.238095238095237,0.2866666666666667,0.4,0.3749047619047619,0.1935483870967742,0.09523809523809523
593974,L,L,5,56.5,-29.5,0.1085,0.13999999999999999,0.09749999999999999,0,0
593974,L,R,12,90.22,17.6,0.3826,0.3875,0.4434,0.08333333333333333,0.2
594311,R,L,5,93.2,3.5,0.31825,0.54,0.5579999999999999,0.6,0.25
594311,R,R,13,91.51,11.2,0.19,0.33076923076923076,0.2054,0,0
594577,R,L,1,102.7,45,0.094,2,0.181,3,0
594577,R,R,7,94.24,7.6,0.48860000000000003,0.7428571428571429,0.5308,0.42857142857142855,0.2
594580,L,L,5,83,30,0.304,0.18,0.28700000000000003,0,0
594580,L,R,2,94.75,5,0.5515,0,0.529,0,0
594835,L,L,9,86.9,8.428571428571429,0.25342857142857145,0.2,0.2404285714285714,0,0
594835,L,R,31,90.51904761904763,16.047619047619047,0.3790952380952381,0.4467741935483871,0.4948095238095238,0.3225806451612903,0.19047619047619047
595014,R,L,5,92.3,40,0.014,0,0.013,0,0
595014,R,R,5,89.05,-2.25,0.30425,0.4,0.4895,0.6,0.25
595345,L,L,6,74.5,15,0.5700000000000001,0.20833333333333334,0.521,0.16666666666666666,0
595345,L,R,3,103.4,-2,0.36,0.2333333333333333,0.328,0,0
595881,R,L,4,NA,NA,NA,0.35,NA,0,NA
595881,R,R,4,94.46666666666667,37.333333333333336,0.29333333333333333,0.175,0.351,0,0
596057,L,L,5,95.3,36,0.11466666666666665,0,0.12366666666666666,0,0
596057,L,R,9,95.37142857142857,18.857142857142858,0.43414285714285716,0.5777777777777777,0.5334285714285715,0.5555555555555556,0.14285714285714285
596071,L,L,1,89.2,-46,0.077,0,0.069,0,0
596071,L,R,5,93.55000000000001,18.5,0.13,0.13999999999999999,0.117,0,0
596133,R,L,3,101.56666666666666,10.666666666666666,0.8106666666666666,0.6,0.8036666666666666,0,0
596133,R,R,2,81.65,-12,0.137,0.45,0.134,0,0
596295,L,L,7,90.46,20.4,0.18,0.30714285714285716,0.1736,0.14285714285714285,0
596295,L,R,13,87.71111111111111,21.444444444444443,0.2048888888888889,0.24615384615384614,0.2278888888888889,0,0
598264,R,L,6,80.275,3.25,0.152,0.26666666666666666,0.14525,0,0
598264,R,R,8,85.92,34,0.22640000000000002,0.33125,0.248,0.125,0
598287,R,L,5,73.3,-2,0.097,0.27999999999999997,0.087,0,0
598287,R,R,9,71.07142857142857,21.428571428571427,0.14542857142857143,0.1388888888888889,0.14257142857142857,0.1111111111111111,0
600921,R,L,12,94.25714285714285,17.428571428571427,0.336,0.5625,0.359,0.25,0
600921,R,R,9,76.2,-7.428571428571429,0.21914285714285714,0.31666666666666665,0.2884285714285714,0.1111111111111111,0.14285714285714285
601713,R,L,11,97.6625,33.625,0.542125,0.7318181818181818,0.772375,0.36363636363636365,0.375
601713,R,R,24,99.14375,12.75,0.418375,0.3145833333333333,0.5386875,0.2916666666666667,0.1875
605130,R,L,5,95.7,6.333333333333333,0.621,0.68,0.594,0.4,0
